,age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,annual_mileage,vehicle_type,speeding_violations,DUIs,past_accidents,outcome
0,65+,female,majority,0-9y,high school,upper class,0.629027313918201,True,after 2015,False,True,12000.0,sedan,0,0,0,False
1,16-25,male,majority,0-9y,none,poverty,0.3577571170184627,False,before 2015,False,False,16000.0,sedan,0,0,0,True
2,16-25,female,majority,0-9y,high school,working class,0.4931457852181982,True,before 2015,False,False,11000.0,sedan,0,0,0,False
3,16-25,male,majority,0-9y,university,working class,0.2060128507324556,True,before 2015,False,True,11000.0,sedan,0,0,0,False
4,26-39,male,majority,10-19y,none,working class,0.3883658881572184,True,before 2015,False,False,12000.0,sedan,2,0,1,True
5,40-64,female,majority,20-29y,high school,upper class,0.6191273725847388,True,after 2015,False,True,13000.0,sedan,3,0,3,False
6,65+,male,majority,30y+,high school,upper class,0.4929435502195342,False,after 2015,True,True,13000.0,sedan,7,0,3,False
7,26-39,female,majority,0-9y,university,working class,0.4686892974344649,False,after 2015,False,True,14000.0,sedan,0,0,0,True
8,40-64,female,majority,20-29y,university,working class,0.5218149362971065,False,before 2015,True,False,13000.0,sedan,0,0,0,False
9,40-64,female,majority,0-9y,high school,upper class,0.5615310319383646,True,before 2015,False,True,11000.0,sedan,0,0,0,True
10,65+,male,majority,30y+,high school,upper class,0.6203612640126029,True,after 2015,True,True,10000.0,sedan,6,2,7,False
11,65+,female,majority,30y+,high school,upper class,0.7298308815593941,True,after 2015,True,False,12000.0,sedan,4,0,0,False
12,40-64,male,majority,20-29y,high school,upper class,0.6370447435902447,True,before 2015,True,True,8000.0,sedan,4,1,2,False
13,16-25,female,majority,0-9y,university,upper class,0.59125997174597,True,before 2015,False,True,11697.003206900365,sedan,0,0,0,False
14,26-39,male,majority,10-19y,high school,middle class,0.4615679630439447,True,before 2015,True,True,12000.0,sedan,0,2,1,False
15,26-39,female,majority,0-9y,high school,upper class,0.7627979410816134,False,after 2015,True,False,11697.003206900365,sedan,0,0,0,False
16,65+,male,majority,30y+,university,upper class,0.7961748462456987,True,before 2015,True,True,11697.003206900365,sedan,10,2,1,False
17,16-25,male,majority,0-9y,none,poverty,0.34833133094379165,False,before 2015,True,False,12000.0,sedan,0,0,0,True
18,26-39,female,majority,0-9y,university,upper class,0.6805942795073384,True,before 2015,False,True,11697.003206900365,sedan,0,0,0,True
19,16-25,female,majority,0-9y,high school,working class,0.4177139816231188,True,before 2015,False,True,18000.0,sedan,0,0,0,True
20,16-25,female,majority,0-9y,high school,working class,0.4095135306516067,False,before 2015,False,False,17000.0,sedan,0,0,0,True
21,16-25,male,majority,0-9y,high school,middle class,0.5532600531952381,True,after 2015,True,True,8000.0,sedan,0,0,0,True
22,40-64,male,majority,20-29y,none,poverty,0.3309502618581893,True,before 2015,True,True,13000.0,sedan,3,1,1,False
