total.cost,lot.sale.days,overage,mileage,vehicle.type,domestic.import,vehicle.age,vehicle.age.group,color.set,makex,state,make.model
4037,135,YES,67341,FAMILY.LARGE,Domestic,8,SEVEN+,SILVER,BUICK,CA,BUICK.CENTURY
6886,114,YES,72823,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,DODGE,AZ,DODGE.NEON
3924,205,YES,96330,FAMILY.MEDIUM,Domestic,9,SEVEN+,WHITE,OLDSMOBILE,FL,OLDSMOBILE.CUTLASS SUPREME
4636,100,YES,58519,ECONOMY,Import,4,FOUR,GOLD,KIA,NV,KIA.SEPHIA
5080,129,YES,99057,FAMILY.MEDIUM,Domestic,4,FOUR,GREEN,OLDSMOBILE,NV,OLDSMOBILE.CUTLASS SUPREME
4370,218,YES,82771,ECONOMY,Domestic,7,SEVEN+,WHITE,CHEVROLET,NM,CHEVROLET.CAVALIER
7578,128,YES,74255,FAMILY.MEDIUM,Import,5,FIVE,WHITE,MITSUBISHI,NV,MITSUBISHI.GALANT
5301,116,YES,82594,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,OLDSMOBILE,AZ,OLDSMOBILE.CIERA
5531,100,YES,81167,FAMILY.LARGE,Domestic,5,FIVE,WHITE,FORD,FL,FORD.CROWN VICTORIA
5728,166,YES,80519,FAMILY.MEDIUM,Domestic,7,SEVEN+,SILVER,MERCURY,TX,MERCURY.SABLE
5992,136,YES,96373,FAMILY.LARGE,Domestic,6,SIX,SILVER,DODGE,TX,DODGE.INTREPID
5551,105,YES,85924,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,CHEVROLET,AZ,CHEVROLET.CORSICA
5538,123,YES,86819,FAMILY.LARGE,Domestic,6,SIX,GREEN,OLDSMOBILE,CA,OLDSMOBILE.CUTLASS SUPREME
4446,116,YES,64722,FAMILY.MEDIUM,Domestic,8,SEVEN+,PURPLE,PONTIAC,CA,PONTIAC.GRAND AM
4651,120,YES,75798,FAMILY.LARGE,Domestic,8,SEVEN+,GREEN,BUICK,CA,BUICK.LESABRE
6593,94,YES,22239,FAMILY.MEDIUM,Import,1,ONE-THREE,WHITE,DAEWOO,TX,DAEWOO.LANOS
5921,96,YES,93490,FAMILY.SMALL,Import,5,FIVE,SILVER,NISSAN,CA,NISSAN.SENTRA
4036,191,YES,74504,ECONOMY,Domestic,7,SEVEN+,WHITE,DODGE,NM,DODGE.SPIRIT
5426,148,YES,78409,FAMILY.SMALL,Domestic,4,FOUR,WHITE,FORD,GA,FORD.CONTOUR
5410,100,YES,80564,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,FORD,FL,FORD.TAURUS
5917,189,YES,91287,FAMILY.MEDIUM,Domestic,4,FOUR,BLUE,OLDSMOBILE,TX,OLDSMOBILE.ACHIEVA
5755,107,YES,84604,FAMILY.SMALL,Import,4,FOUR,GREEN,GEO,CA,GEO.PRIZM
4934,193,YES,80881,ECONOMY,Import,5,FIVE,RED,GEO,FL,GEO.PRIZM
4889,119,YES,61182,ECONOMY,Domestic,6,SIX,PURPLE,FORD,NV,FORD.ESCORT
5941,139,YES,80706,FAMILY.MEDIUM,Domestic,3,ONE-THREE,WHITE,FORD,VA,FORD.TAURUS
3303,189,YES,81282,ECONOMY,Domestic,8,SEVEN+,SILVER,FORD,VA,FORD.TEMPO
7561,242,YES,105294,FAMILY.LARGE,Domestic,5,FIVE,RED,PONTIAC,AZ,PONTIAC.BONNEVILLE
4163,97,YES,87231,FAMILY.MEDIUM,Domestic,7,SEVEN+,PURPLE,OLDSMOBILE,VA,OLDSMOBILE.CIERA
5734,99,YES,100486,FAMILY.MEDIUM,Domestic,7,SEVEN+,GREEN,CHRYSLER,AZ,CHRYSLER.LHS
5516,106,YES,98747,FAMILY.LARGE,Domestic,6,SIX,GREEN,BUICK,FL,BUICK.LESABRE
5690,93,YES,57532,LUXURY,Import,7,SEVEN+,PURPLE,NISSAN,FL,NISSAN.SENTRA
4922,121,YES,58942,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,OLDSMOBILE,FL,OLDSMOBILE.CIERA
5707,94,YES,79692,FAMILY.SMALL,Import,4,FOUR,SILVER,NISSAN,CA,NISSAN.SENTRA
7344,145,YES,94702,FAMILY.MEDIUM,Domestic,7,SEVEN+,WHITE,BUICK,GA,BUICK.REGAL
4588,101,YES,77800,FAMILY.SMALL,Import,6,SIX,PURPLE,GEO,CA,GEO.PRIZM
5439,99,YES,83375,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,BUICK,VA,BUICK.REGAL
4639,148,YES,48370,ECONOMY,Import,4,FOUR,RED,GEO,FL,GEO.METRO
5741,283,YES,74550,ECONOMY,Import,6,SIX,WHITE,MAZDA,GA,MAZDA.PROTEGE
7959,227,YES,80435,FAMILY.MEDIUM,Domestic,3,ONE-THREE,BLACK,CHEVROLET,TX,CHEVROLET.LUMINA
4703,229,YES,64197,FAMILY.MEDIUM,Domestic,8,SEVEN+,BLUE,BUICK,FL,BUICK.CENTURY
5943,93,YES,64189,FAMILY.SMALL,Import,5,FIVE,BLUE,NISSAN,CA,NISSAN.SENTRA
4486,114,YES,98206,FAMILY.LARGE,Domestic,9,SEVEN+,SILVER,BUICK,CA,BUICK.LESABRE
5808,120,YES,87942,FAMILY.LARGE,Domestic,5,FIVE,WHITE,PONTIAC,CA,PONTIAC.GRAND PRIX
5091,102,YES,85723,FAMILY.MEDIUM,Domestic,7,SEVEN+,GREEN,PONTIAC,CA,PONTIAC.GRAND PRIX
4655,136,YES,101664,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,BUICK,FL,BUICK.LESABRE
4845,99,YES,76492,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,OLDSMOBILE,AZ,OLDSMOBILE.CIERA
4803,106,YES,86667,FAMILY.LARGE,Domestic,7,SEVEN+,GREEN,OLDSMOBILE,CA,OLDSMOBILE.CUTLASS SUPREME
4481,107,YES,69970,FAMILY.SMALL,Domestic,5,FIVE,RED,DODGE,AZ,DODGE.NEON
5994,92,YES,70980,FAMILY.SMALL,Domestic,4,FOUR,GREEN,PONTIAC,GA,PONTIAC.GRAND AM
4690,135,YES,90918,FAMILY.LARGE,Domestic,9,SEVEN+,PURPLE,FORD,VA,FORD.CROWN VICTORIA
3767,233,YES,87086,FAMILY.MEDIUM,Domestic,12,SEVEN+,BLUE,OLDSMOBILE,VA,OLDSMOBILE.CIERA
5101,100,YES,86746,FAMILY.SMALL,Import,5,FIVE,BLUE,MAZDA,CA,MAZDA.PROTEGE
3839,95,YES,84672,FAMILY.LARGE,Domestic,8,SEVEN+,GREEN,BUICK,VA,BUICK.LESABRE
4232,252,YES,68680,FAMILY.MEDIUM,Domestic,7,SEVEN+,WHITE,FORD,NM,FORD.TAURUS
4890,109,YES,103985,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,OLDSMOBILE,FL,OLDSMOBILE.88
5370,131,YES,82573,FAMILY.SMALL,Domestic,4,FOUR,RED,PONTIAC,FL,PONTIAC.GRAND AM
5537,205,YES,88289,ECONOMY,Domestic,7,SEVEN+,WHITE,CHEVROLET,NM,CHEVROLET.CORSICA
3727,259,YES,82165,ECONOMY,Domestic,7,SEVEN+,RED,PLYMOUTH,NM,PLYMOUTH.ACCLAIM
4722,204,YES,77515,FAMILY.SMALL,Domestic,6,SIX,PURPLE,MERCURY,NM,MERCURY.MYSTIQUE
3628,198,YES,101748,FAMILY.MEDIUM,Domestic,9,SEVEN+,WHITE,OLDSMOBILE,NM,OLDSMOBILE.CIERA
6242,109,YES,69446,FAMILY.MEDIUM,Domestic,4,FOUR,BLUE,CHEVROLET,NV,CHEVROLET.LUMINA
5973,108,YES,85408,LUXURY,Domestic,8,SEVEN+,RED,DODGE,CA,DODGE.INTREPID
6946,101,YES,57588,FAMILY.LARGE,Domestic,8,SEVEN+,GOLD,BUICK,CA,BUICK.LESABRE
5394,93,YES,78291,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,BUICK,VA,BUICK.REGAL
3833,192,YES,67375,ECONOMY,Domestic,8,SEVEN+,BLUE,PLYMOUTH,FL,PLYMOUTH.ACCLAIM
4879,143,YES,91661,FAMILY.SMALL,Import,6,SIX,PURPLE,GEO,AZ,GEO.PRIZM
